code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2022-02-07,15:02:03,HOSE,STOCK,73.6,78.7,68.5,74.5,77.0,68.5,68.5,72.54,74.5,77.0,68.5,68.5,72.54,5271400.0,382380390000.0,0.0,0.0,-5.1,-5.1,-6.9293
DIG,2022-01-28,15:01:03,HOSE,STOCK,79.1,84.6,73.6,73.6,77.1,73.6,73.6,73.86,73.6,77.1,73.6,73.6,73.86,9074500.0,670269830000.0,0.0,0.0,-5.5,-5.5,-6.9532
DIG,2022-01-27,15:01:04,HOSE,STOCK,85.0,90.9,79.1,85.0,86.0,79.1,79.1,81.36,85.0,86.0,79.1,79.1,81.36,3013300.0,245148560000.0,0.0,0.0,-5.9,-5.9,-6.9412
DIG,2022-01-26,15:01:03,HOSE,STOCK,84.0,89.8,78.2,84.1,89.8,84.0,85.0,87.25,84.1,89.8,84.0,85.0,87.25,4680400.0,408341670000.0,0.0,0.0,1.0,1.0,1.1905
DIG,2022-01-25,15:01:03,HOSE,STOCK,82.9,88.7,77.1,77.1,86.1,77.1,84.0,79.88,77.1,86.1,77.1,84.0,79.88,7432700.0,593716860000.0,0.0,0.0,1.1,1.1,1.3269
DIG,2022-01-24,15:01:03,HOSE,STOCK,89.1,95.3,82.9,90.2,91.0,82.9,82.9,86.37,90.2,91.0,82.9,82.9,86.37,6567200.0,567200300000.0,0.0,0.0,-6.2,-6.2,-6.9585
DIG,2022-01-21,15:01:02,HOSE,STOCK,83.3,89.1,77.5,89.1,89.1,83.3,89.1,88.79,89.1,89.1,83.3,89.1,88.79,8261400.0,733522210000.0,130000.0,10075000000.0,5.8,5.8,6.9628
DIG,2022-01-20,15:01:03,HOSE,STOCK,77.9,83.3,72.5,72.5,83.3,72.5,83.3,75.89,72.5,83.3,72.5,83.3,75.89,13033500.0,989171570000.0,0.0,0.0,5.4,5.4,6.932
DIG,2022-01-19,15:01:02,HOSE,STOCK,83.7,89.5,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,680900.0,53042110000.0,0.0,0.0,-5.8,-5.8,-6.9295
DIG,2022-01-18,15:01:03,HOSE,STOCK,89.9,96.1,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,700800.0,58656960000.0,0.0,0.0,-6.2,-6.2,-6.8966
DIG,2022-01-17,15:01:03,HOSE,STOCK,96.6,103.3,89.9,99.7,99.9,89.9,89.9,93.76,99.7,99.9,89.9,89.9,93.76,8371300.0,784919510000.0,0.0,0.0,-6.7,-6.7,-6.9358
DIG,2022-01-14,15:01:03,HOSE,STOCK,103.7,110.9,96.5,96.5,106.0,96.5,96.6,98.0,96.5,106.0,96.5,96.6,98.0,12905300.0,1264736070000.0,0.0,0.0,-7.1,-7.1,-6.8467
DIG,2022-01-13,15:01:02,HOSE,STOCK,111.5,119.3,103.7,112.0,116.0,103.7,103.7,107.04,112.0,116.0,103.7,103.7,107.04,6175500.0,661001230000.0,0.0,0.0,-7.8,-7.8,-6.9955
DIG,2022-01-12,15:01:03,HOSE,STOCK,119.8,128.1,111.5,119.0,125.0,111.5,111.5,113.98,119.0,125.0,111.5,111.5,113.98,13756100.0,1567876440000.0,21200.0,2715720000.0,-8.3,-8.3,-6.9282
DIG,2022-01-11,15:01:02,HOSE,STOCK,112.0,119.8,104.2,115.0,119.8,112.5,119.8,117.8,115.0,119.8,112.5,119.8,117.8,5806500.0,684032480000.0,0.0,0.0,7.8,7.8,6.9643
DIG,2022-01-10,15:01:03,HOSE,STOCK,117.1,125.2,109.0,115.9,125.2,112.0,112.0,120.33,115.9,125.2,112.0,112.0,120.33,6048800.0,727867360000.0,50000.0,6260000000.0,-5.1,-5.1,-4.3553
DIG,2022-01-07,15:01:02,HOSE,STOCK,109.5,117.1,101.9,111.1,117.1,108.0,117.1,112.97,111.1,117.1,108.0,117.1,112.97,4244200.0,479469050000.0,0.0,0.0,7.6,7.6,6.9406
DIG,2022-01-06,15:01:03,HOSE,STOCK,110.6,118.3,102.9,109.2,113.9,108.0,109.5,111.02,109.2,113.9,108.0,109.5,111.02,5140200.0,570656180000.0,0.0,0.0,-1.1,-1.1,-0.9946
