time,open,high,low,close,volume,ticker
3/7/2024,64.15,65.15,63.88,64.08,2364334,VCB
3/8/2024,64.15,64.55,63.61,63.61,2231150,VCB
3/11/2024,63.61,64.21,62.94,62.94,1842420,VCB
3/12/2024,62.94,63.48,62.88,63.14,1108496,VCB
3/13/2024,63.48,64.55,63.08,64.21,3126592,VCB
3/14/2024,64.21,64.28,63.28,63.55,2322431,VCB
3/15/2024,63.55,63.55,62.81,62.88,2304560,VCB
3/18/2024,63.08,63.21,61.87,62.21,1843874,VCB
3/19/2024,61.87,62.54,61.87,61.87,870431,VCB
3/20/2024,61.87,62.94,61.87,62.34,899448,VCB
3/21/2024,62.88,63.88,62.88,63.68,1454765,VCB
3/22/2024,63.68,64.75,63.68,64.48,1846861,VCB
3/25/2024,63.55,64.82,62.94,64.01,1370504,VCB
3/26/2024,64.21,64.62,64.08,64.42,736873,VCB
3/27/2024,64.35,64.35,63.95,64.08,1047647,VCB
3/28/2024,64.35,64.48,63.95,64.01,1233566,VCB
3/29/2024,64.15,64.15,63.48,63.48,801942,VCB
4/1/2024,63.48,64.21,63.34,63.68,1222710,VCB
4/2/2024,63.61,63.68,62.81,63.21,970357,VCB
4/3/2024,63.14,63.41,62.74,62.74,1323149,VCB
4/4/2024,63.48,64.21,63.14,64.21,2024326,VCB
4/5/2024,63.41,63.95,63.01,63.48,780020,VCB
4/8/2024,63.48,63.75,63.01,63.48,865357,VCB
4/9/2024,63.55,63.81,63.01,63.08,688518,VCB
4/10/2024,63.08,63.28,62.94,63.21,738740,VCB
4/11/2024,62.88,63.28,62.54,62.88,778946,VCB
4/12/2024,63.21,63.88,62.74,63.28,846008,VCB
4/15/2024,63.28,64.55,61.54,61.54,1902194,VCB
4/16/2024,62.74,62.74,60.54,60.87,1860102,VCB
4/17/2024,61,61.61,59.87,60.54,1454446,VCB
4/19/2024,60.2,60.8,60,60.54,1326423,VCB
4/22/2024,60.54,61.14,60.33,60.6,999830,VCB
4/23/2024,60.6,61,59.67,60.27,1565162,VCB
4/24/2024,60.87,60.94,60.27,60.6,1926287,VCB
4/25/2024,60.6,62.14,60.54,60.87,1236861,VCB
4/26/2024,61.34,62.41,61,61,1699786,VCB
5/2/2024,61.61,61.87,60.94,61.47,933709,VCB
5/3/2024,61.81,62.48,61.41,61.87,1472206,VCB
5/6/2024,62.14,62.41,62.01,62.21,1148815,VCB
5/7/2024,62.48,62.94,62.14,62.14,1155689,VCB
5/8/2024,62.01,62.34,61.61,62.21,1247171,VCB
5/9/2024,62.14,62.48,61.74,61.87,607990,VCB
5/10/2024,62.01,62.01,61.34,61.54,824888,VCB
5/13/2024,61.61,61.81,60.54,60.87,1234518,VCB
5/14/2024,60.94,61.27,60.54,60.6,819950,VCB
5/15/2024,60.87,61.07,60.74,60.87,884744,VCB
5/16/2024,61.54,62.01,61.2,61.94,1715536,VCB
5/17/2024,61.94,61.94,61.34,61.41,1086438,VCB
5/20/2024,61.74,62.21,61.41,61.47,1045431,VCB
5/21/2024,61.47,61.54,60.67,60.94,1488654,VCB
5/22/2024,61.2,61.34,60.67,60.67,1349994,VCB
5/23/2024,60.67,61.2,60.54,60.87,1318403,VCB
5/24/2024,60.87,60.87,60.2,60.33,2243441,VCB
5/27/2024,60.47,60.6,60,60.33,1060054,VCB
5/28/2024,60.07,60.67,60.07,60.67,1351470,VCB
5/29/2024,60.74,60.87,60.07,60.07,1188182,VCB
5/30/2024,59.87,60,59.2,59.26,2358180,VCB
5/31/2024,59.33,59.53,58.33,58.33,3927010,VCB
6/3/2024,58.86,59.73,58.86,59,2111127,VCB
6/4/2024,59.47,59.67,59.06,59.33,1818442,VCB
6/5/2024,59.33,59.87,59.26,59.4,1886226,VCB
6/6/2024,59.47,60,59.4,59.53,1702865,VCB
6/7/2024,59.6,60,59.2,59.2,1131101,VCB
6/10/2024,59.47,59.67,58.8,58.86,2643949,VCB
6/11/2024,59.06,59.13,58.26,58.33,2256534,VCB
6/12/2024,58.46,59.67,58.19,59.33,2251490,VCB
6/13/2024,59.47,59.6,59.13,59.13,1603414,VCB
6/14/2024,59.2,59.6,58.53,58.53,2484887,VCB
6/17/2024,58.6,58.73,58.26,58.26,2295281,VCB
6/18/2024,58.53,59.2,58.26,58.26,1372946,VCB
6/19/2024,58.39,58.53,57.86,57.93,2176749,VCB
6/20/2024,57.93,57.93,57.26,57.53,2654038,VCB
6/21/2024,57.59,57.99,57.19,57.53,1809985,VCB
6/24/2024,57.53,58.46,57.19,57.19,2153682,VCB
6/25/2024,57.32,57.99,57.19,57.19,1567779,VCB
6/26/2024,57.46,57.73,56.99,56.99,1709970,VCB
6/27/2024,56.99,57.53,56.99,56.99,1425080,VCB
6/28/2024,57.53,57.53,56.86,56.99,1114085,VCB
7/1/2024,57.39,57.66,56.99,57.59,1180816,VCB
7/2/2024,57.99,59.4,57.66,59,2428337,VCB
7/3/2024,58.86,59.33,58.73,59.2,2252635,VCB
7/4/2024,59.26,60,58.86,58.86,3062719,VCB
7/5/2024,58.93,59.67,58.86,58.86,1849175,VCB
7/8/2024,58.86,59.33,58.33,58.33,1145562,VCB
7/9/2024,58.53,59.13,57.99,58.93,1551172,VCB
7/10/2024,59.06,59.67,58.86,59.26,1725458,VCB
